City,Temperature (C),Temperature (F),Humidity (%),Wind Speed (m/s),Wind Speed (mph),Observed At (UTC)
Tokyo,25.0,77.0,96.0,0.73,1.6,2026-09-02T22:00
Mumbai,25.3,77.5,94.0,1.91,4.3,2026-09-02T22:00
New York,20.0,68.0,91.0,2.3,5.1,2026-09-02T22:00
Cape Town,13.9,57.0,90.0,4.53,10.1,2026-09-02T22:00
Moscow,14.9,58.8,87.0,2.06,4.6,2026-09-02T22:00
London,19.3,66.7,84.0,4.3,9.6,2026-09-02T22:00
Rio de Janeiro,20.4,68.7,77.0,2.16,4.8,2026-09-02T22:00
Berlin,17.6,63.7,72.0,1.39,3.1,2026-09-02T22:00
Sydney,19.7,67.5,55.0,4.03,9.0,2026-09-02T22:00
Paris,22.8,73.0,47.0,1.21,2.7,2026-09-02T22:00
